name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Uzunköprü,SPI,12,23,Gamma3,0.129,0.99,1000,Normal,False
Çorlu,SPI,7,31,GEV,0.155,0.951,1000,Gumbel,False
Çorlu,SPI,8,31,GEV,0.203,0.804,1000,Gumbel,False
Çorlu,SPI,9,29,Lojistik,0.187,0.899,1000,Gumbel,False
Çorlu,SPI,10,27,Lojistik,0.187,0.897,1000,Gumbel,False
Çorlu,SPI,11,26,LN3,0.21,0.767,1000,Gumbel,False
Çorlu,SPI,12,26,GEV,0.249,0.615,1000,Gumbel,False
İpsala,SPI,7,30,GEV,0.249,0.609,1000,Gumbel,False
İpsala,SPI,8,29,LN3,0.22,0.698,1000,Gumbel,False
İpsala,SPI,9,29,LN3,0.215,0.726,1000,Gumbel,False
İpsala,SPI,10,27,LN3,0.286,0.48,1000,Gumbel,False
İpsala,SPI,11,24,GEV,0.354,0.271,1000,Gumbel,False
İpsala,SPI,12,23,GEV,0.416,0.171,1000,Gumbel,False
